id,date,description,merchant,amount,mode,label
7c890af608,2025-07-25,lombard policy premium,icici lombard,12559.16,Cash,Insurance
f89e20e3b8,2025-07-02,reliance fresh groceries,reliance fresh,2083.70,NEFT,Groceries
8337aaf38f,2025-07-08,gpay rent transfer bill,gpay,18323.21,Other,Rent
810e22997d,2025-07-22,bigbasket veggies txn,bigbasket,919.86,Card,Groceries
338104bd54,2025-07-08,indigo web check-in txn,indigo,8396.62,Card,Travel
db9a7e6811,2025-08-06,healthkart vitamins,healthkart,2977.69,NetBanking,Health
1c0f7bb1d9,2025-07-29,oyo hotel stay,oyo,2967.86,NetBanking,Travel
bb339876c8,2025-08-05,swiggy dinner ka,swiggy,365.62,Other,Food
bb7b393345,2025-07-23,reliance fresh milk & eggs,reliance fresh,452.73,NetBanking,Groceries
064b584d49,2025-08-08,lombard policy premium,icici lombard,19543.84,Cash,Insurance
aa76d853df,2025-07-31,hdfc ergo health,hdfc ergo,19327.20,NetBanking,Insurance
389ee49476,2025-07-20,bsnl fiber bill,bsnl,653.37,Other,Bills
f2db16b4fc,2025-08-10,zomato order,zomato,366.09,NEFT,Food
d9ab6489e1,2025-07-15,sonyliv annual txn,sonyliv,983.26,NetBanking,Entertainment
0a2454f43d,2025-07-21,sonyliv annual,sonyliv,1302.94,NEFT,Entertainment
55ce575041,2025-07-11,myntra jeans,myntra,1653.17,NEFT,Shopping
79ad793164,2025-08-02,iocl fuel refill,iocl,1197.19,Card,Transport
acdb8d8df5,2025-08-02,tneb online payment,tneb,435.38,NEFT,Bills
9babb7c408,2025-07-01,metro pass renewal bill,metro,606.50,NEFT,Transport
c8b6d3a76e,2025-07-29,water board bill order,twad,1549.10,UPI,Bills
60eadc0abe,2025-07-16,oyo hotel stay,oyo,19473.68,Cash,Travel
754e3db3d5,2025-07-28,dominos combo,dominos,104.55,Card,Food
e7e5503290,2025-07-10,swiggy dinner,swiggy,740.18,NEFT,Food
411ed842ce,2025-07-14,diagnostics blood test,dr lal pathlabs,3512.79,Card,Health
3a505f354d,2025-07-12,jiomart dal & rice,jiomart,553.75,NetBanking,Groceries
af9616a9a5,2025-07-22,spotify family plan,spotify,275.87,Cash,Entertainment
64b9e741f2,2025-07-07,airtel dth recharge,airtel,2268.50,Other,Bills
